﻿"編號","報修日期","完成日期","當前狀態","報價進度","歸檔狀態","負責工程師","客戶名稱","機型","時效(天)","聯絡人","電話","地址","保固","問題狀況","其他詳細資訊"
"T-2520","2026-06-19","2026-06-20","完修","","已封存","陳祐嘉 Dean","薩利亞頂溪店-優士咖啡","A400","5","","","","","1.薩利亞 頂溪店 優士咖啡","1.薩利亞 頂溪店 優士咖啡 2.新北市永和區後溪里永和路二段121號2樓 3.保固 4.開機一直底部漏水 優士咖啡請我們協助緊急叫修處理"
"T-2675","2026-06-21","2026-06-22","完修","","已封存","邱信豪 Mars","21世紀-八德","ICP 61","5","","","","","1.客戶名稱/經銷：21世紀-八德","1.客戶名稱/經銷：21世紀-八德 2.統編： 3.聯絡人：李R-職員 4.聯絡電話號碼：02-25702221 5.地址：台北市松山區八德路三段12巷5弄14號 6.機型/機號： 7.保固與否： 8.故障問題：更換門邊條"
"T-8575","2026-06-19","2026-06-22","完修","","已封存","楊棟嘉 Ken","全家 - 彰化線東店","XS","5","","","","","1.客戶名稱/經銷：全家 - 彰化線東店","1.客戶名稱/經銷：全家 - 彰化線東店 2.統編： 3.聯絡人：洪小姐 4.聯絡電話號碼：047635121 5.地址：彰化縣彰化市線東路一段567號 6.機型/機號：E60SJ22082989907 7.保固與否：否 8.故障問題：Rational智能蒸烤爐微波完成廣播會有異音"
"T-7896","2026-06-19","2026-06-24","完修","","已封存","林正賢 Jeff","謙牪","iCP061","5","","","","","1.客戶名稱/經銷：謙牪","1.客戶名稱/經銷：謙牪 2.統編： 3.聯絡人：高小姐 4.聯絡電話號碼：  5.地址： 台北市中山區樂群三路303號1樓 A-10櫃 （櫃位於富錦樹餐廳旁） 6.機型/機號：iCP061/E61SJ24033126891 7.保固與否： 8.故障問題：Care盒漏水"
"T-5653","2026-06-18","2026-07-08","完修","未報價","已封存","邱信豪 Mars","承津","ICP 101","5","","","","","1.客戶名稱/經銷：承津","1.客戶名稱/經銷：承津 2.統編：50978496 3.聯絡人：宋先生 4.聯絡電話號碼：0916908466  5.地址：五股區芳洲二路71-10號（118號對面） 6.機型/機號：ICP101G/G11SJ20122863005 7.保固與否：過保 8.故障問題：門開門無感應 需另安排層架補銲，更換進水濾殼，進氣濾網，五通電磁閥"
"T-7619","2026-06-15","2026-06-18","完修","","已封存","劉明忠 Yuie","澎湖喜來登酒店","SCC WE 102","5","","","","","烤箱漏水無法清洗","烤箱漏水無法清洗  外包協助完成"
"T-8172","2026-06-20","2026-06-20","完修","","已封存","陳祐嘉 Dean","4F 展示廚房","設備","5","","","","","展會 所有設備水電拆除","展會 所有設備水電拆除"
"T-7967","2026-06-18","2026-06-20","完修","","已封存","陳祐嘉 Dean","家樂福-天母","SCC WE 201","5","","","","","同意報價維修","同意報價維修"
"T-8793","2026-06-20","2026-06-29","報價","已報價","處理中","林正賢 Jeff","家樂福-天母","SCC WC 201","5","","","","","需報價一隻排水管 再更換","需報價一隻排水管 再更換 另葉輪有異音  尾號637 左邊 玻璃變形 翹出 門推車檔片破裂損 門封條破損 需另報價三樣"
"T-1921","2026-06-18","2026-06-23","完修","","已封存","劉明忠 Yuie","全家-高雄菜公店","XS","5","","","","","1.客戶名稱/經銷：全家-高雄菜公店","1.客戶名稱/經銷：全家-高雄菜公店 2.統編： 3.聯絡人：林店長 4.電話：075882590 5.地址：高雄市左營區站前南路27號1樓 6.機型/機號：E60SJ24013112025 7.保固與否：保固(2024/6/17安裝) 8.故障問題：Rational智能蒸烤爐顯示S34.16 IO板"
"T-3589","2026-06-18","2026-06-25","完修","","已封存","劉峻宇 Otto","需拆裝機 實作","A600 A300","5","","","","","萊爾富湖鑽店下週二(6/23), 預計中午左右到貴公司載製冰機至門市裝機!","萊爾富湖鑽店下週二(6/23), 預計中午左右到貴公司載製冰機至門市裝機!  6/24 、6/25 二天二下午UCC &Family 的教育訓練 下午 1:30 - 4:00 為咖啡機工程技術的教學  機型 Franke A600 與 A300  設備 安裝需求規範 常見的故障問題排除 清潔 & 保養 需拆裝機 實作 Q&A  參與人員 Family 4位 UCC2~3位"
"T-7373","2026-06-21","2026-06-22","完修","","已封存","劉明忠 Yuie","餚籃實業","SCC WE 101","5","","","","","溫度異常烤不熟","溫度異常烤不熟"
"T-7336","2026-06-20","2026-06-22","報價","已報價","處理中","劉明忠 Yuie","家樂福-高雄愛河","SCC WE 201","5","","","","","清洗失敗漏水","清洗失敗漏水"
"T-1574","2026-06-22","2026-07-07","完修","同意報價","已封存","林正賢 Jeff","圓山-松鶴廳","ICP 202","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：圓山-松鶴廳 2.統編： 3.聯絡人：工務 4.聯絡電話號碼：2886-1818*1663  5.地址：台北市中山區中山北路四段1號 6.機型/機號：E22SI17082609668 7.保固與否： 8.故障問題：Service 25"
"T-4668","2026-06-22","2026-06-22","完修","","已封存","劉明忠 Yuie","金色三麥台南南紡","ICP 101","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：金色三麥台南南紡 2.統編： 3.聯絡人：李則寬、沈志藤 4.聯絡電話號碼：(06)300-6969 5.地址：台南市東區中華東路1段366號5樓 6.機型/機號：ICP101 7.保固與否：過保 8.故障問題中間烤箱清洗時嚴重漏水"
"T-8251","2026-06-22","2026-06-22","完修","","已封存","邱信豪 Mars","21PLUS 新店家樂褔","ICP 61","5","","","","","拆機","拆機"
"T-9432","2026-06-22","2026-07-01","取消叫修","","已封存","楊棟嘉 Ken","里家寶食品工廠","ICP 202","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：里家寶食品工廠 2.統編： 3.聯絡人： 4.聯絡電話號碼：05 238 5110 5.地址：600嘉義市西區大溪路51號 6.機型/機號：icp202 7.保固與否：保固 8.故障問題：門膠條脫落"
"T-3980","2026-06-22","2026-06-24","完修","","已封存","陳柏凱 Kevin","古一吟","studio","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：古一吟 2.統編： 3.聯絡人： 4.聯絡電話號碼：0922617172 5.地址：新竹縣新埔鎮大北坑19-2號 6.機型/機號：studio 7.保固與否：過保固 8.故障問題：右邊把手向下拉會空掉  因為是個人住家,請先聯絡到場時間,客戶才會在"
"T-5216","2026-06-22","2026-07-01","完修","同意報價","已封存","劉明忠 Yuie","家樂福-台南安平","SCC WE 101","5","","","","","溫度異常","溫度異常 同意報價維修"
"T-2066","2026-06-22","2026-06-23","取消叫修","","已封存","林正賢 Jeff","全家-至善店","XS","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：全家-至善店 2.統編： 3.聯絡人：	黃騰暉 4.聯絡電話號碼：0228414153 5.地址：台北市士林區臨溪里至善路二段２６８號一樓 6.機型/機號： 7.保固與否： 8.故障問題：Rational智能蒸烤爐顯示蒸汽發生器水位識別故障"
"T-6959","2026-06-22","2026-06-23","完修","","已封存","劉峻宇 Otto","85度C-內湖文德","EVO 2","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：85度C-內湖文德 2.統編： 3.聯絡人：	洪S-職員 4.聯絡電話號碼：02-27997385 5.地址：台北市內湖區文德路2號1樓 6.機型/機號： 7.保固與否： 8.故障問題：底部連接管路漏水、請先回電"
"T-2534","2026-06-22","2026-07-01","完修","","已封存","楊棟嘉 Ken","九九峰園區(薰衣草)-裝機","三孔半自動咖啡機","20","","","","","2026/7/1(四) 請於上午11:00送達","2026/7/1(四) 請於上午11:00送達 南投縣草屯鎮藝術路258號 九九峰園區(薰衣草) DC-MC-ZEROPL-3-NB-4 三孔半自動咖啡機 機器序號: H26000096 聯絡人:	0937695361 許博俊 經理"
"T-7854","2026-06-22","2026-06-24","完修","","已封存","陳祐嘉 Dean","陶膳有限公司","SCC XS","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：陶膳有限公司 2.統編： 3.聯絡人：聶小姐 4.聯絡電話號碼：0938907360 5.地址：台北市南港區南港東新街6-1號一樓 6.機型/機號：E60SI17122635139 7.保固與否：否 8.故障問題：維修服務:40  Care 泵无法将足量药水泵入水箱, 无法除垢;  Care管路不通,Care 泵故障,確定好維修時間、請提早告知、我到現場開門!"
"T-2437","2026-06-22","2026-06-24","完修","","已封存","邱信豪 Mars","微兜小碧潭","EVO 2","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：微兜 小碧潭 2.統編： 3.聯絡人： 4.聯絡電話號碼：02-29115998 5.地址：新北市新店區中央路157號5樓 6.機型/機號：EVO2 7.保固與否：過保 8.故障問題：需再更換抽水泵B-00-0009  $6000(含稅)"
"T-3512","2026-06-22","2026-06-22","完修","","已封存","劉峻宇 Otto","⬆️Hi-life 五股五工","桌上設備","5","","","","","蒸包機載回門市","蒸包機載回門市 關東煮機運回維修"
"T-0319","2026-06-22","2026-06-26","完修","","已封存","陳祐嘉 Dean","耍福企業社","Mina","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：耍福企業社 2.統編： 3.聯絡人： 趙翊婷 4.聯絡電話號碼：0935088685 5.地址：台北市南港區忠孝東路六段278巷22弄34號1樓 6.機型/機號：Mina  7.保固與否：過保 8.故障問題：二手機裝機,已報價同意!請安排時間過去裝機先電話通知!"
"T-4448","2026-06-22","2026-07-02","完修","","已封存","楊棟嘉 Ken","洛可可咖啡","ICP 101","5","","","","","2026/6/24(三)上午10:00送達","2026/6/24(三)上午10:00送達 台中市新社區興中街136號 ICP061萬能蒸烤箱(3相220V) 機器序號: E11SJ22092998400 聯絡人:	陳小姐 0972867581"
"T-0927","2026-06-22","","未完成 / 另約時間","同意報價","處理中","陳柏凱 Kevin","21世紀 桃園遠百","ICP 101","5","","","","","同意報價","同意報價  *緊急叫修:* 1.客戶名稱/經銷：21世紀_桃園遠百 2.統編： 3.聯絡人：黃R-職員 4.聯絡電話號碼：03-331-1521 5.地址：桃園市中正路20號 6.機型/機號：10盤萬能蒸烤箱 7.保固與否： 8.故障問題：無法預熱"
"T-3007","2026-06-22","2026-06-23","完修","","已封存","林正賢 Jeff","欣光食品","SCC WE 202","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：欣光食品 2.統編： 3.聯絡人：劉先生 4.聯絡電話號碼：0926811571 5.地址：320桃園市中壢區南園路2-20號 6.機型/機號：1-4號機 7.保固與否：過保 8.故障問題：清洗或更換空氣濾網 9.1號機清洗後藥劑殘留"
"T-3265","2026-06-22","2026-06-30","完修","","已封存","林正賢 Jeff","捷兆有限公司","ICP 101","5","","","","","1.客戶名稱/經銷：捷兆有限公司","1.客戶名稱/經銷：捷兆有限公司 2.統編： 3.聯絡人：鄭小姐 4.聯絡電話號碼：0960 999 899  5.地址： 236新北市土城區學海街1號 6.機型/機號：ICP 101 7.保固與否：過保 8.故障問題：清洗漏水，已經更換過門膠條，還是漏水，*指定本週五，下午三點後前往維修*"
"T-5955","2026-06-22","2026-06-22","完修","","已封存","楊棟嘉 Ken","85豐原中興店","EVO 2","5","","","","","加熱異常","加熱異常"
"T-0878","2026-06-22","2026-06-22","完修","","已封存","陳祐嘉 Dean","85頂溪","EVO 2","5","","","","","咖啡機保養歸還","咖啡機保養歸還"
"T-5180","2026-06-22","2026-06-22","完修","","已封存","陳祐嘉 Dean","85土城","EVO 2","5","","","","","咖啡機大保養完成歸還","咖啡機大保養完成歸還"
"T-2875","2026-06-22","2026-07-12","完修","","已封存","陳祐嘉 Dean","85樹林中山","EVO 2","30","","","","","大保養 送至外包","大保養 送至外包"
"T-2611","2026-06-22","2026-07-06","完修","","已封存","陳祐嘉 Dean","85板橋莒光","EVO 2","30","","","","","大保養送至外包","大保養送至外包"
"T-0304","2026-06-22","2026-06-24","完修","","已封存","林正賢 Jeff","億群機場第二航廈 T2","ICP 101","5","","","","","叫修:","叫修: 1.億群機場第二航廈 T2 2. 電話：03-393-1989 3. 聯絡人：Una 4. 機型：ICP101 E11SJ24073152484 5. 問題：蒸烤箱清洗快結束時發生故障 畫面關不掉 無法清洗中斷 強制關總電源也沒有用"
"T-9746","2026-06-23","2026-06-23","完修","","已封存","陳柏凱 Kevin","全家-新竹新金科店","XS","5","","","","","*`*叫修:二級維修*`*","*`*叫修:二級維修*`* 1.客戶名稱/經銷：全家-新竹新金科店 2.統編： 3.聯絡人：曾郁勛 店長 4.聯絡電話號碼：035777330 5.地址：新竹市東區金山街197號 6.機型/機號：E60SJ23053061847 7.保固與否：否 8.故障問題：Rational智能蒸烤爐顯示錯誤資訊供水裝置功能故障S-42.1 供水功能故障（Y1 注水）"
"T-2608","2026-06-23","2026-06-24","完修","","已封存","楊棟嘉 Ken","全家-埔里埔基店","XS","5","","","","","叫修:二級維修`","叫修:二級維修` 1.客戶名稱/經銷：全家-埔里埔基店 2.統編： 3.聯絡人： 王鉦讓 4.聯絡電話號碼：0492915116 5.地址：南投縣埔里鎮鐵山路１－２號 6.機型/機號：E60SJ23073072575 7.保固與否：否 8.故障問題：Rational智能蒸烤爐顯示錯誤資訊蒸氣發生器水位識別狀況S-120 清洗期間蒸汽發生器水位檢測出現故障 S-14 蒸汽發生器水位檢測故障"
"T-4351","2026-06-22","2026-06-26","完修","同意報價","已封存","陳柏凱 Kevin","莫內咖啡","SCC WE 101","5","","","","","同意報價","同意報價 1.客戶名稱/經銷：莫內咖啡 2.統編：30227047 3.聯絡人：許素貞 4.聯絡電話號碼：03-476-6655 5.地址：桃園市新屋區蚵間里蚵殼港30之一號 6.機型/機號：E11SH12062307060 7.保固與否：否 8.故障問題：烤箱清洗不出水，麻煩協助檢修"
"T-0241","2026-06-23","2026-06-24","完修","","已封存","邱信豪 Mars","CoffeeLaw 敦南店","TONE 3","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：CoffeeLaw 敦南店 2.統編： 3.聯絡人：王先生 4.聯絡電話號碼：0908-922-663 5.地址：臺灣台北市大安區忠孝東路四段181巷40弄15號 6.機型/機號：Tone3 7.保固與否：否 8.故障問題：  單一最近設定溫度在89度也會有汽化問題，其他設備同樣內容則不會 今日又出現有溫度過熱提示 再煩請協助維修處理"
"T-4216","2026-06-23","2026-06-24","完修","","已封存","林正賢 Jeff","態芮","SCC WE 101","5","","","","","叫修:","叫修: 1.客戶名稱/經銷： 態芮 2.統編：55670904 3.聯絡人：黃韋博 4.聯絡電話號碼：0955158088 5.地址：台北市中山區樂群三路299號6樓 6.機型/機號：SCC10盤 7.保固與否：否 8.故障問題：設備清洗到一半出現故障碼25"
"T-4015","2026-06-23","2026-06-25","完修","","已封存","楊棟嘉 Ken","吃豆米","ICP 61G","5","","","","","1.客戶名稱/經銷：吃豆米","1.客戶名稱/經銷：吃豆米 2.統編： 3.聯絡人：陳小姐 4.聯絡電話號碼:0980-027567 5.地址：台中市北屯區文心路四段643號  6.機型/機號：iCp61G/G61SJ220229951206 7.保固與否： 8.故障問題：22.32.29"
"T-8798","2026-06-23","2026-06-25","完修","","已封存","陳柏凱 Kevin","全家-花蓮慈安店","XS","5","","","","","叫修:三級維修","叫修:三級維修 1.客戶名稱/經銷：全家便利商店-花蓮慈安店 2.統編： 3.聯絡人：王小姐 4.聯絡電話號碼：038463933 5.地址：花蓮縣花蓮市建國路二段８７６號 6.機型/機號：E60SJ24013108595 7.保固與否：否 8.故障問題：Rational智能蒸烤爐顯示異常訊息:蒸氣加熱系統故障、內部通訊故障S-34.16 內部資料通訊故障（A10 I/O 電路板）"
"T-7960","2026-06-23","2026-06-24","完修","","已封存","邱信豪 Mars","明星咖啡館","DC MAX","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：明星咖啡館 2.統編：28859355 3.聯絡人：黃義芳 4.聯絡電話號碼：02-23815589 5.地址： 台北市中正區武昌街一段5號2樓 6.機型/機號：DC MAX/B20001719 7.保固與否：過保 8.故障問題：出粉按鈕彈出 固定螺絲不見"
"T-6812","2026-06-23","2026-06-25","取消叫修","","已封存","陳祐嘉 Dean","康達盛通超市 台北同安店","ICP 101","5","","","","","叫修:","叫修:  1.客戶名稱/經銷：康達盛通超市 台北同安店 2.統編： 3.聯絡人：謝純茹區養護經理 4.聯絡電話號碼：0932-998-269 5.地址：台北市中正區同安街71號 6.機型/機號：E11SJ20122861850 7.保固與否： 8.故障問題：蒸烤箱清潔功能異常!"
"T-4316","2026-06-23","2026-06-24","完修","","已封存","劉明忠 Yuie","康達盛通超市-高雄小港店","ICP 101","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：康達盛通超市-高雄小港店 2.統編： 3.聯絡人：高震宇 4.聯絡電話號碼：07 801 2597 5.地址： 812高雄市小港區順苓里宏平路411號 6.機型/機號： 7.保固與否： 8.故障問題：蒸烤箱無法開啟!"
"T-0701","2026-06-23","2026-06-23","完修","","已封存","楊棟嘉 Ken","根井壽司","ICP 101","5","","","","","有時無法開機","有時無法開機"
"T-4307","2026-06-23","2026-06-25","完修","","已封存","陳祐嘉 Dean","福里安花神","SCC WE 101","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：福里安花神 2.統編： 3.聯絡人：陳昭婷小姐  4.聯絡電話號碼：8789-5599#8892 5.地址： 台北市信義區松壽路9號(福里安花神) 6.機型/機號：E11SH16072526935 7.保固與否：過保 8.故障問題：a9西廚的烤箱把手鬆掉了門關不起來...鐵歪掉了,24.02.762P 門鎖U型彈簧故障,已報價!"
"T-7541","2026-06-23","2026-06-24","完修","","已封存","廖聖典 Max","全家-南港車站店","XS","5","","","","","叫修:三級維修","叫修:三級維修 1.客戶名稱/經銷：全家 - 南港車站店 2.統編： 3.聯絡人：杜先生 4.聯絡電話號碼：0227837703 5.地址：台北市南港區忠孝東路七段371號B2 6.機型/機號：E60SJ22042963711 7.保固與否：否 8.故障問題：Rational智能蒸烤爐菜單不會自動連線更新，營業時間：06:00-23:00"
"T-4720","2026-06-23","2026-07-07","完修","未報價","已封存","林正賢 Jeff","台北萬豪-1樓花園餐廳","SCC WE 101","5","","","","","叫修:","叫修:  1.客戶名稱/經銷：台北萬豪 - 1樓花園餐廳/1F GK內廚房（小廚房） 2.統編：16434853 3.聯絡人：值班工程 4.聯絡電話號碼： 096527856 5.地址：台北市中山區樂群二路199號 6.機型/機號： SCC WE 101/ E11SH12112328852 7.保固與否：過保 8.故障問題：中心探針壞掉"
"T-7979","2026-06-23","2026-06-25","完修","","已封存","邱信豪 Mars","鬧蟬-遼寧店","EVO 2","5","","","","","叫修","叫修 店名：鬧蟬 遼寧店 地址：台北市中山區遼寧街136號 現場聯絡人: 02-27162077鬧蟬 0939139147-店長Jerry 機型：EVO2 問題：右邊轉蒸氣沒出 但左邊有用 再麻煩工程協助謝謝🙏 過去前請先電聯"
"T-4298","2026-06-21","2026-06-24","完修","","已封存","陳祐嘉 Dean","蘇澳煙坡 員工餐廳/UCC","A300","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：蘇澳煙坡 員工餐廳／UCC 2.統編： 3.聯絡人： 4.聯絡電話號碼： 5.地址： 270宜蘭縣蘇澳鎮中正路38號 6.機型/機號：A300   7.保固與否：過保 8.故障問題：一直卡在除垢系統  員工：請問明日是否能前來幫忙查看"
"T-7725","2026-06-23","2026-07-23","完修","同意報價","已封存","劉明忠 Yuie","家樂福 鳳山店","SCC WE 201","5","","","","","叫修","叫修 1.客戶名稱/經銷：家樂福 鳳山店 2.統編： 3.聯絡人：黃士哲養護經理 4.聯絡電話號碼：0908-052-332 5.地址：高雄市鳳山區中山西路236號 6.機型/機號：E21SI16122562798 7.保固與否： 8.故障問題：上次維修後現場反應還是有在漏水，麻煩再幫我請人來看一下"
"T-8187","2026-06-23","2026-06-25","完修","","已封存","陳祐嘉 Dean","TrueBox健康餐盒","ICP 61G","5","","","","","1.客戶名稱/經銷：TrueBox健康餐盒","1.客戶名稱/經銷：TrueBox健康餐盒 2.統編： 3.聯絡人：Andy洪主廚 4.聯絡電話號碼：0932873370  5.地址：新北市板橋區成功路23號1樓 6.機型/機號：G61SJ22092998437 7.保固與否：否 8.故障問題：客戶來電詢問明天下午能請廖師傅來查修，最近發現設備點火裝置好像有問題了，又開始跟以前一樣嘣嘣叫了，然後明明有瓦斯，但是他一直感應不到"
"T-6082","2026-06-24","2026-06-25","完修","","已封存","林正賢 Jeff","全家-龜山致茂店","XS","5","","","","","1.客戶名稱/經銷：全家-龜山致茂店","1.客戶名稱/經銷：全家-龜山致茂店 2.統編： 3.聯絡人： 4.聯絡電話號碼： 5.地址：桃園市龜山區文茂路86號1樓 6.機型/機號：E60SJ22113014253 7.保固與否：否 8.故障問題：Rational智能蒸烤爐顯示S-14  + S120  營業時間上午7:00-晚上9:00"
"T-9769","2026-06-24","","未執行","","已封存","未指派","全家-龜山致茂店","XS","5","","","","","叫修:三級維修","叫修:三級維修  1.客戶名稱/經銷：全家-龜山致茂店 2.統編： 3.聯絡人：林小姐 4.聯絡電話號碼： 5.地址：桃園市龜山區文茂路86號1樓 6.機型/機號：E60SJ22113014253 7.保固與否：否 8.故障問題：	Rational智能蒸烤爐一直跳清洗，營業時間7-21點"
"T-3535","2026-06-24","2026-07-01","完修","同意報價","已封存","陳祐嘉 Dean","家樂福 桂林店","SCC WE 201","5","","","","","同意報價","同意報價  1.客戶名稱/經銷：家樂福 桂林店 2.統編： 3.聯絡人：Andy  4.聯絡電話號碼：0911-919-082 5.地址：台北市萬華區桂林路1號 6.機型/機號：E21SH13012336187 7.保固與否：過保 8.故障問題：维修服務25"
"T-9187","2026-06-24","2026-06-26","完修","","已封存","邱信豪 Mars","睿典咖啡","EVO 2","5","","","","","1.客戶名稱/經銷：睿典咖啡","1.客戶名稱/經銷：睿典咖啡 2.統編：76429003 3.聯絡人：梁先生 4.聯絡電話號碼：02-23581821 5.地址：中正區和平西路一段57號1樓 6.機型/機號：DC EVO2/V19000253 7.保固與否：過保 8.故障問題：兩邊萃取壓力不足+按鈕接觸不良"
"T-6129","2026-06-24","2026-06-25","完修","","已封存","邱信豪 Mars","明星咖啡館","MINA","5","","","","","1.客戶名稱/經銷：明星咖啡館","1.客戶名稱/經銷：明星咖啡館 2.統編：28859355 3.聯絡人：黃義芳 4.聯絡電話號碼：02-23815589 5.地址： 台北市中正區武昌街一段5號2樓 6.機型/機號：DC MINA/A20000153 7.保固與否：過保 8.故障問題：蒸氣管會漏水"
"T-6005","2026-06-24","2026-06-24","完修","","已封存","劉峻宇 Otto","Hi-life 五股五工","關東煮機","5","","","","","故障E11","故障E11"
"T-9532","2026-06-25","2026-06-26","報價","未報價","處理中","廖聖典 Max","福華文教會館","ICP 202","5","","","","","1.客戶名稱/經銷：福華文教會館","1.客戶名稱/經銷：福華文教會館 2.統編： 3.聯絡人：林主廚 4.聯絡電話號碼： 0939-018-807 5.地址：106臺北市大安區龍坡里新生南路三段30號 6.機型/機號：iCP/E220SJ25033208959 7.保固與否：保固 8.故障問題：需手動除鈣"
"T-6143","2026-06-25","2026-06-25","報價","同意報價","處理中","劉明忠 Yuie","家樂福-台南新營","SCC WE 201","5","","","","","漏水，有水聲","漏水，有水聲"
"T-2761","2026-06-25","2026-06-29","完修","已報價","已封存","劉明忠 Yuie","澎湖喜來登酒店","SCC WE 61","5","","","","","外包處理","外包處理 球閥故障"
"T-3579","2026-06-26","2026-06-26","完修","","已封存","楊棟嘉 Ken","全家-台中金中清店","XS","5","","","","","叫修:三級維修","叫修:三級維修  1.客戶名稱/經銷：全家-台中金中清店 2.統編： 3.聯絡人：劉小姐 4.聯絡電話號碼： 5.地址：台中市北區中清路一段８３號 6.機型/機號：E60SJ23073072219 7.保固與否：否 8.故障問題： Rational智能蒸烤爐烤完後有異音, 故障S27球閥無法關閉"
"T-3716","2026-06-26","2026-06-29","完修","","已封存","劉明忠 Yuie","85鳳山文龍","EVO 2","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：85鳳山文龍 2.統編： 3.聯絡人：店長 4.聯絡電話號碼：07-7679985 5.地址： 830高雄市鳳山區文龍東路692號 6.機型/機號：EVO2 7.保固與否：保修 8.故障問題：開啟到保養訊息 導致跳出 已請店家繼續使用"
"T-7981","2026-06-26","2026-06-26","完修","","已封存","林正賢 Jeff","金色三麥 微風南山","SCC WE 61","5","","","","","戶名稱/經銷：金色三麥 微風南山","戶名稱/經銷：金色三麥 微風南山 2.統編：24692475 3.聯絡人：江先生 4.聯絡電話號碼：0985153050 5.地址：台北市信義區松智路17號7樓 6.機型/機號：SCC061/E61SI18112708101 7.保固與否：過保 8.故障問題：門會彈開"
"T-9134","2026-06-26","","未執行","","處理中","邱信豪 Mars","初衣食午大安/*啟辰*","PACOJET","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：初衣食午大安/ *啟辰* 2.統編：55862777 3.聯絡人：啟辰窗口賴小姐 4.聯絡電話號碼：0905660307 5.地址：臺北市大安區仁愛里大安路一段90號 6.機型/機號：PACOJET 7.保固與否：過保 8.故障問題：刀盤無法吸附   軸心未下降，客戶也未購買藥片判斷無清洗 *請先出預估維修報價單+緊急維修費用* 謝謝 @葉幸忠"
"T-7646","2026-06-26","2026-07-01","完修","","已封存","林正賢 Jeff","茶安安","EF NEXT M","5","","","","","2026/7/1(三) 上午10:30送達","2026/7/1(三) 上午10:30送達 台北市南港區園區街6-2號1樓 EF NEXT M (3相380V) 機器序號:  220400149M 聯絡人: 0930036719 林先生"
"T-5432","2026-06-26","2026-06-30","完修","","已封存","陳祐嘉 Dean","茹絲葵食品企業股份有限公司","SCC WE 61","5","","","","","1.店名：茹絲葵食品企業股份有限公司","1.店名：茹絲葵食品企業股份有限公司 2.聯絡人：江小姐 3.聯絡電話號碼：0932210488 4.地址：台北市中山區樂群3路301號3樓 5.機型：E61SH16022500614 （左開門） 6.問題:  門墊圈裂開 及清洗跳S-11 已跟江小姐約好 星期二 1400前往處理"
"T-9007","2026-06-26","2026-06-10","報價","未報價","處理中","廖聖典 Max","金品茶樓","EF 30.1","5","","","","","1.客戶名稱/經銷：金品茶樓","1.客戶名稱/經銷：金品茶樓 2.統編：28821794 3.聯絡人：柯文原 4.連絡電話：0988196388 5.維修地址：台北市長春路20號2樓 6.機型/機號： 7.保固與否：否 8.固障問題：液晶顯示alp  6/10一樣問題 有過去檢測維修"
"T-0909","2026-06-26","2026-07-01","完修","","已封存","陳柏凱 Kevin","蘭田穀王 二結店","DC-pro","5","","","","","1.客戶名稱/經銷：蘭田穀王 二結店","1.客戶名稱/經銷：蘭田穀王 二結店 2.統編： 3.聯絡人：店長 4.聯絡電話號碼：03－965－9900 5.地址： 268宜蘭縣五結鄉中正路三段111號 6.機型/機號：DC-pro 7.保固與否：過保 8.故障問題：蒸氣旋鈕關不緊 已報價同意更換  在麻煩前往一趟 蘭田穀王 -羅莊門市 檢查一下機器是否正常"
"T-1381","2026-06-26","2026-07-01","報價","未報價","處理中","陳柏凱 Kevin","蘭田穀王 -羅莊門市","DC-pro","5","","","","","檢查一下機器是否正常","檢查一下機器是否正常"
"T-1544","2026-06-26","2026-06-26","完修","","已封存","邱信豪 Mars","鬧蟬-遼寧店","EVO2","5","","","","","店名：鬧蟬 遼寧店","店名：鬧蟬 遼寧店 地址：台北市中山區遼寧街136號 現場聯絡人: 02-27162077鬧蟬 0939139147-店長Jerry 機型：EVO2 問題：右邊轉蒸氣沒出 （昨日修完今天還是一樣） 下午四點後在過去維修（因需排空蒸氣） 請先告知前往日期 我需跟老闆說"
"T-4759","2026-06-26","2026-06-30","完修","","已封存","劉峻宇 Otto","CoffeeLaw 敦南店","Tone3","5","","","","","1.客戶名稱/經銷：CoffeeLaw 敦南店","1.客戶名稱/經銷：CoffeeLaw 敦南店 2.統編： 3.聯絡人：王先生 4.聯絡電話號碼：0908-922-663 5.地址：臺灣台北市大安區忠孝東路四段181巷40弄15號 6.機型/機號：Tone3 7.保固與否：否 8.故障問題：  昨日已處理，但是今天仍然有汽化問題（目前92度） 其他設備都是一樣的內容程式，沒問題，只有這台持續發生"
